tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
5886175 27701344 0,00 0,00 0 0 0 0 0 0 0 0 0 0
5886175 27701344 2117,30 0,04 110 0 17 434 30 1 14916 0 5610 55
5886175 27701344 15759,80 0,27 11309 7720 30747 7186 5848 82820 301 7784 3690 193
5886175 27701344 72292,70 1,23 48582 134104 232268 51307 2418 47746 44864 48640 9136 103862
5886175 27701344 295837,00 5,03 208037 317707 378190 413219 101276 113056 506966 439849 266659 213411
5886175 27701344 743828,00 12,64 743828 743828 743828 743828 743828 743828 743828 743828 743828 743828
5886175 27701344 888,80 0,02 0 0 0 268 521 0 0 0 95 8004
5886175 27701344 52612,60 0,89 9867 15959 10910 66922 64313 5230 217841 103052 18676 13356
5886175 27701344 580277,50 9,86 118080 487287 204020 460048 246059 1996660 440037 931893 761551 157140
5886175 27701344 1919468,50 32,61 1205300 2494892 3129511 2658626 766283 1684200 1926468 1644755 942035 2742615
5886175 27701344 3281332,60 55,75 3295704 3531344 3490119 3928818 2171163 2507265 3713515 3695113 3376499 3103786
5886175 27701344 4151078,00 70,52 4151078 4151078 4151078 4151078 4151078 4151078 4151078 4151078 4151078 4151078
